A_f	total.count	z_coop	z_comp	z_coop_neg1_comp
1	f_	2256	14	0	6
2	f_Acidaminococcaceae	552	33	0	19
3	f_Actinomycetaceae	182	0	0	0
4	f_Aerococcaceae	2	0	0	0
5	f_Akkermansiaceae	12	0	0	0
6	f_Amphibacillaceae	20	0	0	0
7	f_Anaerofustaceae	2	0	0	0
8	f_Anaerotignaceae	2	0	0	0
9	f_Anaerovoracaceae	552	15	0	5
10	f_Atopobiaceae	182	1	0	0
11	f_Bacillaceae	12	0	0	0
12	f_Bacillaceae_A	56	0	0	0
13	f_Bacillaceae_G	6	0	0	0
14	f_Bacteroidaceae	56882	4	60	3
15	f_Barnesiellaceae	110	1	0	1
16	f_Bifidobacteriaceae	3540	83	0	66
17	f_Burkholderiaceae	1260	33	2	4
18	f_Butyricicoccaceae	156	18	0	15
19	f_CAG-138	306	3	0	2
20	f_CAG-239	90	1	0	1
21	f_CAG-272	420	1	0	0
22	f_CAG-274	6	0	0	0
23	f_CAG-288	30	0	0	0
24	f_CAG-307	12	0	0	0
25	f_CAG-312	90	5	0	0
26	f_CAG-313	20	0	0	0
27	f_CAG-314	30	4	0	3
28	f_CAG-508	72	0	0	0
29	f_CAG-552	42	2	0	2
30	f_CAG-727	132	7	0	5
31	f_CAG-74	110	0	0	0
32	f_CAG-826	42	1	0	1
33	f_CAG-917	110	2	0	0
34	f_CAG-977	2	1	0	0
35	f_Caldibacillaceae	6	0	0	0
36	f_Campylobacteraceae	20	0	0	0
37	f_Cellulomonadaceae	6	0	0	0
38	f_Cellulosilyticaceae	2	0	0	0
39	f_Christensenellaceae	2	0	0	0
40	f_Clostridiaceae	3306	63	0	41
41	f_Coprobacteraceae	42	0	0	0
42	f_Coriobacteriaceae	93942	873	0	443
43	f_Corynebacteriaceae	90	0	0	0
44	f_Desulfovibrionaceae	210	0	0	0
45	f_Dialisteraceae	156	7	0	6
46	f_DTU089	10100	22	0	7
47	f_Dysgonomonadaceae	20	0	0	0
48	f_Eggerthellaceae	1122	125	0	60
49	f_Elusimicrobiaceae	6	0	0	0
50	f_Enterobacteriaceae	9120	0	33	0
51	f_Enterococcaceae	2652	29	0	0
52	f_Erysipelatoclostridiaceae	1260	12	0	9
53	f_Erysipelotrichaceae	1260	5	0	4
54	f_Exiguobacteraceae	6	0	0	0
55	f_Ezakiellaceae	12	0	0	0
56	f_Fusobacteriaceae	1056	10	0	4
57	f_Gastranaerophilaceae	552	8	0	0
58	f_Helcococcaceae	182	10	0	7
59	f_Helicobacteraceae	4692	9	28	9
60	f_Lachnospiraceae	228006	3162	33	1181
61	f_Lactobacillaceae	6480	19	0	12
62	f_Listeriaceae	2	0	0	0
63	f_Marinifilaceae	272	0	0	0
64	f_Megasphaeraceae	156	2	0	1
65	f_Micrococcaceae	12	0	0	0
66	f_Moraxellaceae	12	0	0	0
67	f_Muribaculaceae	2256	1	2	0
68	f_Neisseriaceae	2	0	0	0
69	f_Oscillospiraceae	16512	336	0	187
70	f_P3	2	0	0	0
71	f_Paenibacillaceae	156	1	0	1
72	f_Peptoniphilaceae	110	8	0	4
73	f_Peptostreptococcaceae	870	3	0	1
74	f_Planococcaceae	6	0	0	0
75	f_Porphyromonadaceae	72	0	0	0
76	f_Propionibacteriaceae	56	0	0	0
77	f_Pseudomonadaceae	6	0	0	0
78	f_Rikenellaceae	1980	11	0	6
79	f_Ruminococcaceae	9506	86	2	54
80	f_Selenomonadaceae	20	0	0	0
81	f_Staphylococcaceae	30	0	0	0
82	f_Streptococcaceae	462	7	0	5
83	f_Succinivibrionaceae	20	0	1	0
84	f_Synergistaceae	6	0	0	0
85	f_Tannerellaceae	1190	0	0	0
86	f_Treponemataceae	12	0	0	0
87	f_Turicibacteraceae	30	0	0	0
88	f_UBA1381	2	0	0	0
89	f_UBA660	3422	155	0	116
90	f_UBA932	306	9	0	7
91	f_Veillonellaceae	272	2	0	2
