A	B	Competition	Cooperation	A_B	dist	A_idx	B_idx	bin	IQ_outlier_comp	IQ_outlier_coop	zscore_comp	zscore_coop	MRCA_level	MRCA_taxa	A_taxa	B_taxa
1	12718_7_3	12718_7_49	0.975	0.0157728706624606	12718_7_3_12718_7_49	0.02118	29	56	3	Positive		2.96630573573662	-1.74931834482952	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter mori	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_
2	12718_7_3	12718_7_50	0.98125	0.00632911392405063	12718_7_3_12718_7_50	0.02196	29	64	3	Positive		3.06801456470013	-2.11110748083815	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter mori	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter cloacae_A
3	12718_7_3	13154_4_42	0.9875	0	12718_7_3_13154_4_42	0.02025	29	106	3	Positive		3.16972339366365	-2.35357504133442	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter mori	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter steigerwaltii
4	12718_7_50	12718_7_3	0.972136222910217	0.00632911392405063	12718_7_50_12718_7_3	0.02196	64	29	3	Positive		2.91970230946231	-2.11110748083815	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter cloacae_A	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter mori
5	12718_7_7	12718_7_3	0.964516129032258	0.00333333333333333	12718_7_7_12718_7_3	0.02367	79	29	3	Positive		2.79569737747523	-2.22587545947305	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter mori
6	12718_7_7	12718_7_50	0.967741935483871	0.00332225913621262	12718_7_7_12718_7_50	0.02245	79	64	3	Positive		2.84819225694027	-2.22629971057558	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter cloacae_A
7	13154_4_42	12718_7_3	0.972307692307692	0.00315457413249211	13154_4_42_12718_7_3	0.02025	106	29	3	Positive		2.92249270172156	-2.23272370203344	g	Enterobacter	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter steigerwaltii	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Enterobacter:s_Enterobacter mori
8	14637_1_53	GCF_000164555.1	0.976119402985075	0.0120845921450151	14637_1_53_GCF_000164555.1	0.02096	313	908	3	Positive		2.98452224241666	-1.89061583216934	g	Escherichia	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Escherichia:s_Escherichia coli
9	20298_2_11	20298_2_9	0.967065868263473	0.0122324159021407	20298_2_11_20298_2_9	0.02106	504	556	3	Positive		2.83719033609431	-1.8849527225771	g	Klebsiella_A	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella_A:s_Klebsiella_A michiganensis_A	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella_A:s_Klebsiella_A oxytoca
10	20298_2_9	20298_2_11	0.967065868263473	0.0182370820668693	20298_2_9_20298_2_11	0.02106	556	504	3	Positive		2.83719033609431	-1.65491471504122	g	Klebsiella_A	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella_A:s_Klebsiella_A oxytoca	d_Bacteria:p_Proteobacteria:c_Gammaproteobacteria:o_Enterobacterales:f_Enterobacteriaceae:g_Klebsiella_A:s_Klebsiella_A michiganensis_A
